report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2015-01-27,438279,238407,49482,38815,117326,323486,43731,26496
2015-02-03,419524,229006,43991,28674,117174,320447,44670,26412
2015-02-10,393232,199036,43762,31396,120702,291293,42098,26781
2015-02-17,389530,188121,56387,34865,125433,269068,41111,29210
2015-02-24,399307,184416,58245,41717,133432,269126,39742,30219
2015-03-03,405124,180561,64741,44158,140080,263467,40325,32758
2015-03-10,410918,171821,89929,43257,154578,243920,41262,33812
2015-03-17,429738,162268,109175,46560,180464,236954,40446,37049
2015-03-24,433767,168234,113953,52190,178058,230983,35285,36641
2015-03-31,387585,172818,92799,37572,144197,225312,32998,31902
2015-04-07,390571,183130,82373,39159,133199,241488,35083,27551
2015-04-14,395089,184741,86344,44957,130960,234553,34431,29235
2015-04-21,397379,184567,83322,50963,126107,231113,35742,31981
2015-04-28,403575,189929,88672,52390,125733,232605,35523,29908
2015-05-05,399988,173105,100665,56074,138096,212258,32713,30991
2015-05-12,405612,179257,101817,49451,144829,222331,32075,32013
2015-05-19,428597,202190,79569,46685,140751,273085,38971,29258
2015-05-26,411961,191951,87257,38409,144540,254260,37061,32035
2015-06-02,398724,194299,89889,32798,138423,246573,33204,29464
2015-06-09,406069,186813,111723,33742,150277,228866,35237,31738
2015-06-16,415718,191053,115330,37042,153712,230349,33911,32997
2015-06-23,430978,202944,107830,41267,150444,251332,36323,30549
2015-06-30,442301,194476,127321,46169,163797,238566,37859,30245
2015-07-07,452145,193776,143328,48006,172552,225141,37811,35670
2015-07-14,462664,191014,143190,51510,183945,232414,36195,35550
2015-07-21,459760,187720,159441,46943,189676,211260,35421,42116
2015-07-28,438282,182977,158512,44365,176720,191986,34220,43419
2015-08-04,434273,184792,154892,46290,170826,185646,32365,47445
2015-08-11,435489,187778,155336,46362,166020,190478,35329,43313
2015-08-18,432728,185712,144053,48716,166062,196010,32238,43949
2015-08-25,432154,189893,119160,53016,156659,219295,32586,40683
2015-09-01,410274,182753,110068,47590,146865,215953,33066,36663
2015-09-08,421732,183615,124322,48883,155620,211599,33614,36928
2015-09-15,413333,174225,134678,51513,154988,187967,32607,39175
2015-09-22,419304,182080,120955,56151,149092,206320,31981,35878
2015-09-29,415700,182792,106147,50513,149535,222678,32860,36362
2015-10-06,430228,191000,104181,57295,148424,236893,33509,31859
2015-10-13,435928,203299,86140,53042,144242,262736,35345,34010
2015-10-20,467792,233227,81926,57126,134966,298266,42473,30474
2015-10-27,466780,225985,68551,62506,138770,304618,39519,31105
2015-11-03,443900,194784,78442,63397,146369,271357,39350,30704
2015-11-10,436426,174561,106172,65660,155946,227840,40259,36754
2015-11-17,435376,173395,138996,52408,170494,198967,39079,45005
2015-11-24,397705,159440,143138,43199,155709,167692,39357,43676
2015-12-01,390940,158792,149042,40887,155554,158465,35707,42546
2015-12-08,394128,162764,143141,46025,149617,163614,35722,41348
2015-12-15,390944,155934,142278,48714,151012,159278,35284,40674
2015-12-22,405294,154276,127849,64301,151272,173523,35445,39621
2015-12-29,401880,150229,131127,67961,147179,162514,36511,40278
2016-01-05,413688,153532,126972,78561,147674,166949,33921,41206
2016-01-12,397565,158655,113937,58837,142221,185806,37852,38985
2016-01-19,408835,158320,114626,76043,140723,180866,33749,37300
2016-01-26,385350,170471,111431,60993,115343,175176,38543,37750
2016-02-02,379185,176968,104146,46169,116469,193824,39579,35046
2016-02-09,410833,201754,103326,45747,121357,226280,41975,35480
2016-02-16,428912,209101,91741,46240,127800,259784,45771,31147
2016-02-23,445290,227381,82403,47607,120854,284003,49448,31277
2016-03-01,450555,223186,70773,60650,115571,287002,51148,32130
2016-03-08,499110,252895,78085,76202,116493,311865,53520,32958
2016-03-15,493086,247659,78147,77007,118610,304141,49810,33791
2016-03-22,510579,258646,79815,73290,127081,327075,51562,30399
2016-03-29,480461,262082,72276,45729,123227,331191,49423,31265
2016-04-05,474094,263781,73381,44650,118103,325348,47560,30715
2016-04-12,504523,286341,72534,46969,122181,353968,49032,31052
2016-04-19,503331,291143,74306,44240,117743,357864,50205,26921
2016-04-26,497884,288173,67316,46236,116445,356553,47030,27779
2016-05-03,565774,338476,66828,59431,116644,411545,51223,27970
2016-05-10,579777,337251,72353,67605,123211,408207,51710,31612
2016-05-17,595077,340748,74460,79137,122477,412720,52715,28760
2016-05-24,542958,291266,84634,52773,146205,371418,52714,34133
2016-05-31,494321,274589,77454,38761,133624,347662,47347,30444
2016-06-07,496330,295688,67069,41132,112940,356632,46570,31497
2016-06-14,545357,347557,67695,38925,113281,411358,45594,27379
2016-06-21,571517,358825,66096,45399,119782,431919,47511,28103
2016-06-28,613792,373128,71208,64364,127169,453490,49131,24730
2016-07-05,652971,389590,73627,88857,123735,463942,50789,26545
2016-07-12,633020,378081,80618,79128,123258,448710,52553,24564
2016-07-19,617069,366871,80960,75151,119433,434910,55614,26048
2016-07-26,576325,347426,68471,55650,117420,426443,55829,25761
2016-08-02,582211,365801,71618,48048,113911,437938,54451,24607
2016-08-09,575399,356471,70024,50020,116251,429192,52657,26163
2016-08-16,572496,351535,67684,52308,116128,427121,52525,25383
2016-08-23,572973,359785,65176,52821,108571,426046,51796,28930
2016-08-30,558398,340586,64245,54292,109854,411067,53666,28794
2016-09-06,590656,370375,62515,55872,110470,440443,53939,31826
2016-09-13,575002,351776,66363,52492,116841,428212,53893,27935
2016-09-20,558791,326326,70147,50995,120314,410929,61156,26720
2016-09-27,583161,358972,67068,47925,123156,437750,53108,30418
2016-10-04,544824,324136,78628,53866,111864,383106,54958,29224
2016-10-11,500328,283386,88167,50883,112362,333561,53697,27717
2016-10-18,497061,274345,94727,56255,115441,318112,51020,27967
2016-10-25,507617,285376,88396,57916,114700,332299,49625,29006
2016-11-01,521506,288308,73177,65953,115398,354649,51847,27727
2016-11-08,528203,289860,72622,72413,114915,360501,51015,22667
2016-11-15,479237,245750,68090,69056,115191,315157,49240,26934
2016-11-22,461062,241646,74561,68746,97975,290147,52695,27608
2016-11-29,405661,229731,78161,37735,92628,260451,45567,29314
2016-12-06,393524,227675,91295,33973,86237,241181,45639,27075
2016-12-13,397034,229755,100444,35044,86143,236029,46092,25517
2016-12-20,398661,219067,104233,44342,87960,221982,47292,28104
2016-12-27,401513,206538,108195,55836,89975,210942,49164,26540
2017-01-03,424673,208855,112305,71021,97410,215022,47387,26325
2017-01-10,444001,214000,104518,89161,96763,222579,44077,27743
2017-01-17,467937,218144,111103,104399,101399,224510,43995,27925
2017-01-24,482374,209854,100447,119798,109000,235374,43722,26755
2017-01-31,398433,212414,93259,45008,101784,233587,39227,26579
2017-02-07,415543,216408,99259,51747,106024,240170,41364,24367
2017-02-14,415128,212259,102507,57432,105674,233462,39763,21727
2017-02-21,427168,219673,95910,63290,103861,243425,40344,24543
2017-02-28,446081,247494,83696,54410,100180,280087,43997,27888
2017-03-07,434401,229969,96284,61157,99484,252132,43791,24828
2017-03-14,426170,210315,104277,69088,102535,225822,44232,26983
2017-03-21,446880,219719,103467,82582,101282,230279,43297,30552
2017-03-28,449418,227839,90019,74805,104760,256874,42014,27720
2017-04-04,427808,239061,83625,49043,96115,267131,43589,28009
2017-04-11,456131,253004,80338,57490,98119,285483,47518,32820
2017-04-18,472263,279311,83543,48361,97769,308833,46822,31526
2017-04-25,475985,287468,86791,43513,100335,314915,44669,30766
2017-05-02,461905,276032,86398,42037,99054,303040,44782,30430
2017-05-09,433033,236115,86109,46859,104960,269382,45099,30683
2017-05-16,435021,221532,94808,54659,113719,256578,45111,28976
2017-05-23,462572,241752,81985,63428,112114,286405,45278,30754
2017-05-30,434246,250542,83452,35549,103751,286970,44404,28275
2017-06-06,494041,312240,107775,29475,108298,324652,44028,32139
2017-06-13,471134,297178,106904,28577,105193,308804,40186,26849
2017-06-20,445841,252620,101945,39733,110287,275303,43201,28860
2017-06-27,453144,236586,104914,51658,117497,267360,47403,29212
2017-07-03,457201,221681,127882,56968,131190,238416,47362,33935
2017-07-11,475669,217637,157377,64759,147818,221734,45455,31799
2017-07-18,484204,217232,157094,69714,153064,226699,44194,30697
2017-07-25,463827,220299,129468,51215,148926,252269,43387,30875
2017-08-01,448709,239766,110094,39997,126891,270276,42055,28342
2017-08-08,448727,246377,97540,36408,125168,284679,40774,30100
2017-08-15,477921,277730,89996,37693,122138,318769,40360,31463
2017-08-22,500443,295711,87273,37626,125036,344954,42070,30590
2017-08-29,538875,318883,87836,53981,119030,367059,46981,29999
2017-09-05,566817,336073,90775,54858,125145,386952,50741,34232
2017-09-12,580606,351492,96732,57172,123298,395396,48644,31306
2017-09-19,570096,330646,94557,63976,129222,382263,46252,29300
2017-09-26,549637,303255,90661,63295,134501,367972,48586,27709
2017-10-03,525127,287296,83441,64511,126749,351172,46571,26003
2017-10-10,520005,279227,79115,68514,124178,347175,48086,25201
2017-10-17,528800,284617,83893,70277,126678,348302,47228,26328
2017-10-24,526674,275521,84136,80570,125468,336121,45115,25847
2017-10-31,531918,268710,75615,89354,128371,339019,45483,27930
2017-11-07,536843,272571,76781,94638,123149,338436,46485,26988
2017-11-14,533054,271496,76412,91605,122703,338494,47250,26543
2017-11-21,531612,272934,71107,84095,124856,349912,49727,26498
2017-11-28,503810,287384,62967,52355,116831,363372,47240,25116
2017-12-05,472795,251234,77905,44905,132509,322399,44147,27586
2017-12-12,446618,201912,94844,45407,155730,275193,43569,31174
2017-12-19,453595,197473,83678,56410,156226,284443,43486,29064
