entry_date,exp_date,S0,K,S_exit,prem_paid_total,payoff,realized_pnl,ret_on_prem,expired_worthless
2011-12-01,2011-12-30,96.49496459960938,91.6702163696289,97.50318908691406,0.019215193030419776,0.0,-0.019215193030419776,-1.0,True
2012-01-03,2012-02-02,97.50318908691406,92.62802963256836,103.08147430419922,0.019225523964734783,0.0,-0.019225523964734783,-1.0,True
2012-03-01,2012-03-30,106.45325469970705,101.13059196472169,109.87725830078124,0.020785003357593514,0.0,-0.020785003357593514,-1.0,True
2012-04-02,2012-05-02,109.87725830078124,104.38339538574218,109.49484252929688,0.02124282552701474,0.0,-0.02124282552701474,-1.0,True
2012-06-01,2012-06-29,102.58897399902344,97.45952529907225,106.7521514892578,0.0196442536589313,0.0,-0.0196442536589313,-1.0,True
2012-07-02,2012-08-01,106.7521514892578,101.4145439147949,107.92086791992188,0.02024336346691207,0.0,-0.02024336346691207,-1.0,True
2012-09-04,2012-10-04,110.7210922241211,105.18503761291504,115.23123931884766,0.02078936804709051,0.0,-0.02078936804709051,-1.0,True
2012-11-01,2012-11-30,111.46192932128906,105.8888328552246,112.0927734375,0.02072380088866697,0.0,-0.02072380088866697,-1.0,True
2012-12-03,2013-01-02,112.0927734375,106.48813476562499,115.99288177490234,0.02063451450368443,0.0,-0.02063451450368443,-1.0,True
2013-02-01,2013-03-01,118.88362121582033,112.9394401550293,120.79745483398438,0.021669040377525456,0.0,-0.021669040377525456,-1.0,True
2013-04-01,2013-05-01,124.97220611572266,118.72359580993651,126.25643157958984,0.022553415345934563,0.0,-0.022553415345934563,-1.0,True
2013-06-03,2013-07-03,130.38037109375,123.8613525390625,129.33016967773438,0.023306593123306282,0.0,-0.023306593123306282,-1.0,True
2013-08-01,2013-08-30,135.2882843017578,128.52387008666992,131.2306671142578,0.02395305632321952,0.0,-0.02395305632321952,-1.0,True
2013-09-03,2013-10-03,131.2306671142578,124.66913375854492,135.06939697265625,0.023005737813924503,0.0,-0.023005737813924503,-1.0,True
2013-11-01,2013-11-29,141.65284729003906,134.5702049255371,145.8511199951172,0.024588742383607216,0.0,-0.024588742383607216,-1.0,True
2013-12-02,2013-12-31,145.8511199951172,138.5585639953613,149.63246154785156,0.025068554130611927,0.0,-0.025068554130611927,-1.0,True
2014-01-02,2014-01-31,149.63246154785156,142.15083847045898,144.35818481445312,0.025467778922643403,0.0,-0.025467778922643403,-1.0,True
2014-02-03,2014-03-05,144.35818481445312,137.14027557373046,152.11167907714844,0.02432640404560433,0.0,-0.02432640404560433,-1.0,True
2014-04-01,2014-05-01,152.1808319091797,144.5717903137207,153.2549591064453,0.0253933045764206,0.0,-0.0253933045764206,-1.0,True
2014-06-02,2014-07-02,156.79483032226562,148.95508880615233,161.26646423339844,0.0259138219790659,0.0,-0.0259138219790659,-1.0,True
2014-08-01,2014-08-29,157.88136291503906,149.9872947692871,164.11187744140625,0.02583554571265605,0.0,-0.02583554571265605,-1.0,True
2014-09-02,2014-10-02,164.11187744140625,155.90628356933593,159.67913818359375,0.026589252361403446,0.0,-0.026589252361403446,-1.0,True
2014-11-03,2014-12-03,165.6594696044922,157.37649612426756,170.7772979736328,0.02657510303139625,0.0,-0.02657510303139625,-1.0,True
2015-01-02,2015-01-30,169.77867126464844,161.28973770141602,164.74827575683594,0.026966444879194095,0.0,-0.026966444879194095,-1.0,True
2015-02-02,2015-03-04,164.74827575683594,156.51086196899413,173.6527099609375,0.025912715586449427,0.0,-0.025912715586449427,-1.0,True
2015-04-01,2015-05-01,171.27500915527344,162.71125869750975,174.83441162109375,0.026677633781190525,0.0,-0.026677633781190525,-1.0,True
2015-06-01,2015-07-01,175.18289184570312,166.42374725341796,173.00021362304688,0.027015614602314494,0.0,-0.027015614602314494,-1.0,True
2015-08-03,2015-09-02,175.50143432617188,166.7263626098633,162.92039489746094,0.026796913414812128,0.6928199743889915,0.6660230609741793,24.854469269062598,False
2015-10-01,2015-10-30,160.59942626953125,152.56945495605467,174.25994873046875,0.03156458272070665,0.0,-0.03156458272070665,-1.0,True
2015-11-02,2015-12-02,174.25994873046875,165.5469512939453,174.7628173828125,0.033915133110402736,0.0,-0.033915133110402736,-1.0,True
2016-01-04,2016-02-03,171.8742218017578,163.2805107116699,161.27699279785156,0.03313354143952176,0.09869307339422584,0.06555953195470407,1.9786454784608238,False
2016-03-01,2016-03-31,163.18234252929688,155.02322540283203,174.15896606445312,0.032176283440325415,0.0,-0.032176283440325415,-1.0,True
2016-04-01,2016-04-29,174.15896606445312,165.45101776123047,174.8453369140625,0.03400738082393591,0.0,-0.03400738082393591,-1.0,True
2016-05-02,2016-06-01,174.8453369140625,166.10307006835936,178.18417358398438,0.03380857740941309,0.0,-0.03380857740941309,-1.0,True
2016-07-01,2016-07-29,178.43783569335938,169.5159439086914,184.9456787109375,0.034161080111839166,0.0,-0.034161080111839166,-1.0,True
2016-08-01,2016-08-31,184.9456787109375,175.69839477539062,185.16714477539065,0.03505583602462694,0.0,-0.03505583602462694,-1.0,True
2016-09-01,2016-09-30,185.16714477539065,175.9087875366211,185.1778564453125,0.03475129094234508,0.0,-0.03475129094234508,-1.0,True
2016-10-03,2016-11-02,185.1778564453125,175.91896362304686,179.561767578125,0.03443105724700658,0.0,-0.03443105724700658,-1.0,True
2016-12-01,2016-12-30,188.67083740234372,179.23729553222654,192.49557495117188,0.034729746968847806,0.0,-0.034729746968847806,-1.0,True
2017-01-03,2017-02-02,192.49557495117188,182.87079620361328,196.1468963623047,0.03508286401534251,0.0,-0.03508286401534251,-1.0,True
2017-03-01,2017-03-31,203.6389617919922,193.45701370239257,203.89349365234372,0.03674769880153016,0.0,-0.03674769880153016,-1.0,True
2017-04-03,2017-05-03,203.89349365234372,193.69881896972652,206.26339721679688,0.0364289797630786,0.0,-0.0364289797630786,-1.0,True
2017-06-01,2017-06-30,208.82351684570312,198.38234100341796,210.15475463867188,0.036940775216258236,0.0,-0.036940775216258236,-1.0,True
2017-07-03,2017-08-02,210.15475463867188,199.64701690673826,215.0565948486328,0.03680887613241828,0.0,-0.03680887613241828,-1.0,True
2017-09-01,2017-09-29,215.1000823974609,204.34507827758785,219.4342193603516,0.037303694303782775,0.0,-0.037303694303782775,-1.0,True
2017-10-02,2017-11-01,219.4342193603516,208.462508392334,224.9019317626953,0.03768077834676696,0.0,-0.03768077834676696,-1.0,True
2017-12-01,2017-12-29,231.47021484375,219.89670410156248,234.2774658203125,0.03935390901969065,0.0,-0.03935390901969065,-1.0,True
2018-01-02,2018-02-01,234.2774658203125,222.56359252929687,247.2001800537109,0.039432321873620134,0.0,-0.039432321873620134,-1.0,True
2018-03-01,2018-03-29,238.48263549804688,226.55850372314453,231.9457244873047,0.03974422156039163,0.0,-0.03974422156039163,-1.0,True
2018-04-02,2018-05-02,231.9457244873047,220.34843826293945,231.98985290527344,0.038288651517258084,0.0,-0.038288651517258084,-1.0,True
2018-06-01,2018-06-29,238.81198120117188,226.87138214111326,240.1853790283203,0.039039824607723254,0.0,-0.039039824607723254,-1.0,True
2018-07-02,2018-08-01,240.1853790283203,228.17611007690428,248.66734313964844,0.0388776285568842,0.0,-0.0388776285568842,-1.0,True
2018-09-04,2018-10-04,257.0340881347656,244.18238372802733,257.42388916015625,0.041193772411499165,0.0,-0.041193772411499165,-1.0,True
